"FAU","RPL34","CNPPD1","GPX1","SSR4","RPS18","ETS2","EPB41L2","RPS4Y1","TDP2","LEPROTL1","ZMYM2","MVD","DOCK1","HEBP2","PTPN18","PLXNA3","PSEN2","RAB40B","SLC22A5","IPO8","HABP2","RNH1","ADORA3","MAP3K13","206446_s_at","SYCP2","PPEF1","APMAP","HCG4","WNT11","PTH2R","FRMPD1","CUBN","ACRV1","206777_s_at","CRYBB2","ASMT","GAD2","DNAJC4","FGF4","AQP8","206785_s_at","HTN3","BRDT","POU2F1","NDUFB1","PDE4C","PNMT","ERBB4","F2RL2","WISP1","NAT2","DLEC1","SCGB1D2","MTHFR","NPPB","PAX5","PDYN","CD3G","SEMA3A","DGKI","HNRNPA3P1","206809_s_at","ZNF44","PPP1R3A","PAGE1","CASP7","SLC10A1","MITF","RPS2P45","207759_s_at","207915_at","DGKD","208426_x_at","208525_s_at","PPP6R1","SMPD1","211430_s_at","CHD8","212578_x_at","PIAS4","LOC92249","LOC100506963","DOK2","215247_at","216093_at","216636_at","216729_at","ADAM15","ZNF706","MUL1","RMND5B","TMEM134","TSPAN15","EPS8L1","CDKN2AIP","C7orf26","RGS17","CNNM3","KCTD13","controls"
"12.050856","12.407825","6.709782","11.433432","11.05018","13.321967","8.363346","7.216869","11.809098","9.516687","8.147672","5.367446","5.398879","6.591784","9.281751","7.508861","4.900078","5.501396","5.913324","5.527325","5.450565","3.894356","6.303529","6.334769","4.411701","4.011422","3.47396","3.871836","8.677602","3.688196","5.08084","3.368497","3.915646","4.182871","3.942738","6.142392","4.998018","3.667482","3.635744","4.894688","5.405329","4.227987","4.698629","3.233088","3.374001","5.844922","10.806235","6.741869","6.070435","4.868869","3.07762","4.179061","3.97578","5.007561","3.491324","5.078954","4.885785","4.509036","3.554187","4.551871","4.709692","3.847239","3.048649","8.018274","5.159977","3.064613","4.294757","7.410967","4.577269","7.527224","3.683828","3.258087","4.217896","7.555268","3.716067","3.438301","6.233262","5.711457","10.854135","6.390975","12.886792","5.44064","4.839383","5.528001","7.509764","4.534464","3.512524","3.313988","3.661876","5.507879","9.349845","7.616086","6.654069","6.929922","7.212789","5.336762","5.982268","5.839457","3.349739","6.621027","4.644887","0"
"11.575834","12.284257","6.615183","10.876854","10.172567","13.155377","9.611151","7.450974","11.476131","9.392414","7.635465","5.57171","5.408419","6.205484","8.889127","7.027851","5.164635","5.175145","5.289876","5.817375","5.302272","3.888339","6.31857","5.819514","4.447167","3.530334","4.1079","3.419917","8.809746","3.890752","5.125142","3.25833","3.633517","4.169754","4.128437","5.492328","4.634742","3.585987","3.6006","4.841617","5.143708","3.903915","4.417424","3.315494","3.320403","6.504139","10.594547","6.757726","5.898962","4.36943","3.300019","4.529471","4.396192","5.269424","3.349975","4.69198","4.150092","4.676626","3.619179","4.134689","4.605661","3.568958","3.152482","8.050719","5.172753","3.129137","3.637169","7.293087","4.690489","7.192047","3.567611","3.365858","4.340201","7.690386","3.968799","3.311331","6.176257","5.430926","9.112497","6.453044","12.904962","5.201982","4.555888","5.604474","7.547962","4.359124","3.236368","3.498203","3.397229","5.006492","8.842113","7.515929","6.289412","6.762628","6.889446","4.945","5.658026","5.623734","3.584362","6.329524","4.855092","1"
"11.728075","12.53105","6.295003","10.830195","10.748296","13.102316","9.634387","8.545791","11.415775","9.069952","7.826775","6.560536","5.187321","6.554696","8.793121","6.830819","4.819975","5.492034","5.600507","5.66478","5.823244","3.709133","6.215038","4.495967","4.922786","4.395343","3.515654","3.518679","8.49276","3.948728","5.177784","3.215445","3.664734","3.840033","4.055338","4.763924","4.611587","3.608209","3.587505","4.743418","5.172633","3.86961","3.83618","3.105673","3.120252","5.988029","10.895897","6.56","5.159657","4.633204","3.292032","4.117215","4.163235","4.724015","3.375622","4.707129","4.674771","4.389609","3.695683","4.224579","4.725279","3.50337","3.305098","8.462449","4.936623","3.043587","3.780443","7.40033","4.495356","7.518143","3.291848","3.05136","4.072002","7.792043","3.893608","3.322401","6.028715","5.277364","10.377705","6.413372","12.814076","4.883862","4.468771","5.360456","7.148247","4.407564","3.336425","3.413759","3.609238","5.242205","8.933309","7.396927","6.402661","6.781529","6.620356","5.27331","5.850904","5.784634","3.276401","6.309398","4.642087","1"
"12.014662","12.53105","6.977203","11.354549","10.540548","13.283458","8.568684","7.884013","11.680719","9.247861","8.528425","5.096748","5.417235","6.258932","9.079982","7.475142","5.290945","5.502027","5.706077","6.302677","5.057355","3.906247","6.578014","6.781529","4.402927","3.354419","3.484544","3.501443","8.745642","3.8355","5.009719","3.281815","3.71202","4.014808","4.166961","5.135287","4.697636","3.478886","3.620772","4.992416","5.289206","4.199283","4.5885","3.226347","3.133868","6.167634","10.86888","6.809465","7.260129","4.717062","3.324188","4.059951","4.289869","5.02146","3.547184","4.789792","4.516633","4.3401","3.608276","4.444459","4.455517","3.582032","3.093696","8.041651","5.011765","3.248195","3.585023","7.350275","4.829801","7.386659","3.699685","3.201775","4.430384","7.522075","3.904673","3.464436","6.053977","5.42942","10.789329","6.326008","12.886792","5.20687","4.634371","5.893255","7.838822","4.146343","3.117954","3.544455","3.646945","5.491982","9.288506","7.939245","6.866926","7.103973","6.858636","5.133557","6.346976","5.832763","3.493098","6.820396","4.871625","0"
"11.959756","12.621624","6.6494","11.020827","10.913204","13.162223","8.641325","7.924941","11.385202","8.715348","7.784371","6.785733","4.696289","6.603606","8.519734","7.324315","5.106525","5.19711","5.630431","5.391227","5.312712","3.997136","6.270737","5.19361","5.248189","4.08174","3.466067","3.543935","8.471486","3.780601","4.853365","3.345099","3.837721","4.182632","4.094812","4.545273","4.610119","3.537861","3.626478","4.877176","5.347943","4.002155","4.284316","2.920301","3.121334","6.759981","11.127812","6.764369","6.152055","4.758005","3.304822","3.712954","4.057545","4.982916","3.444335","4.747313","4.345331","4.456909","3.61983","4.550396","4.469571","3.536243","3.167443","7.826876","5.091867","3.089895","3.713363","7.371377","4.475342","8.250134","3.436674","3.278809","4.131914","7.655808","3.942323","3.333536","6.334769","5.531437","11.381465","7.107017","12.936343","5.124948","4.949323","5.73461","7.288645","4.261728","3.315202","3.464436","3.575132","5.096105","8.753427","7.648459","6.462608","6.686149","6.722473","5.188263","6.147521","5.937459","3.437725","7.36105","4.60073","1"
"11.571515","12.536812","6.480616","11.038648","10.590751","13.155377","8.798896","8.427244","11.373912","8.898356","7.777159","5.91121","5.071797","6.851022","8.55596","7.217596","4.815714","5.215611","5.404734","5.487908","5.404992","3.953968","6.149435","5.145874","4.515387","3.543525","3.70389","3.466067","8.751705","4.040873","5.115688","3.531224","3.722048","4.170996","4.058156","5.414445","4.869887","3.678949","3.716797","5.062719","5.559233","4.235182","3.783074","3.264147","3.184452","6.121195","10.476395","6.900043","6.554034","4.545971","3.354199","3.800316","4.124614","4.924546","3.457311","4.962123","4.467565","4.457152","3.633182","4.724695","4.626449","3.796383","3.110316","7.478856","5.119615","3.060204","3.585427","7.424892","4.772064","7.95631","3.520622","3.29738","4.229368","7.784576","4.124252","3.593259","6.301784","5.444015","11.902396","7.209539","12.784671","5.009987","4.562032","5.506611","7.706459","4.180703","3.25833","3.450858","3.499415","4.850104","8.925345","7.616086","6.755016","6.582021","6.297512","4.925337","5.727308","5.974809","3.562059","6.900931","4.745082","1"
"12.096831","12.414482","6.787021","11.283747","10.987456","13.412951","8.483468","7.447592","5.1248","9.000727","7.952364","5.525184","5.198188","6.085012","9.05503","7.020145","4.800697","5.325048","5.364574","5.774622","4.776544","3.885097","6.196701","5.214789","4.056164","3.519911","3.557295","3.718603","8.932605","4.012436","4.795644","3.107509","3.791024","3.939108","3.944714","4.988354","4.556101","3.855325","3.415522","4.902172","5.379096","4.17047","3.800396","3.198986","3.058428","5.824147","10.724136","6.506144","5.322434","4.133069","3.150662","6.050592","4.223492","4.700373","3.402746","4.549944","4.31271","4.327414","3.597076","3.957389","4.600836","3.477369","3.432635","8.314824","4.871303","3.092282","3.78327","7.530964","4.587607","7.402801","3.32739","3.23415","3.994862","7.804787","3.887747","3.302784","6.462261","5.709644","11.216258","7.136499","13.02917","5.204125","4.643505","5.695471","7.049226","4.326822","3.451819","3.495216","3.618271","5.427061","8.990538","7.485441","6.561836","6.728047","6.930644","5.164886","5.499374","6.009005","3.495669","5.911951","4.803145","1"
"11.786787","12.611921","6.805573","11.258788","10.200236","13.048701","9.103105","8.482836","5.558924","8.89343","7.684966","5.426265","5.022845","6.764732","8.646199","7.468142","4.544836","5.329659","6.004167","6.049837","4.809947","4.038422","6.201662","5.694937","4.160697","3.591423","3.883274","3.575551","8.574536","3.79785","5.305477","3.199579","3.796069","3.948455","4.297998","4.195184","4.627575","3.59027","3.554966","4.705322","5.343528","4.522701","4.514561","3.056208","3.137219","6.431382","10.890932","7.231162","7.136846","4.255247","3.417536","4.103513","4.670139","5.413647","3.648517","4.804967","4.305952","4.755037","4.199778","4.67798","4.262024","3.832242","2.842258","7.198543","4.931618","3.105216","3.600395","7.876531","4.701566","7.890751","3.568038","3.354673","4.247556","8.070749","4.141386","3.707137","6.456511","5.697251","11.675667","7.324104","12.821864","5.028253","4.296773","5.584695","7.438982","4.111886","3.455275","3.368933","4.005435","4.817904","9.172462","7.525734","6.310406","6.60803","6.874892","5.2004","5.61907","6.01927","3.574392","6.869272","5.174267","1"
"11.963239","12.71219","6.696141","10.876854","10.494193","13.272497","9.607822","7.984686","5.003554","8.89087","7.753358","5.450372","5.420061","6.980978","8.866493","6.973954","4.41677","5.350475","5.749338","5.446183","5.05208","4.265442","6.296047","5.671589","3.796278","3.393914","3.526202","3.356372","8.718176","3.774878","5.373406","3.310689","3.783822","3.726457","4.133743","4.375725","4.801867","3.466399","3.563098","4.885167","5.451713","4.525789","4.736586","3.307378","3.238507","5.791064","10.769907","7.027964","6.180769","4.8291","3.430258","4.229883","3.953968","5.232239","3.474424","4.891011","4.297813","4.395884","3.871951","4.689648","4.5885","4.217548","3.227626","7.871609","4.649274","2.975934","3.673598","7.273643","4.809223","7.476564","3.499222","3.440033","4.230318","8.230223","4.17687","3.424044","5.726183","5.441954","10.938829","6.952706","12.904962","4.847849","4.694323","5.329568","7.484832","4.344242","3.201514","3.577837","3.500051","5.022022","8.855605","7.608108","6.594429","6.541591","6.621926","5.185545","5.353996","6.043415","3.683706","6.41731","4.728131","0"
"12.258474","12.694889","6.980781","11.200063","11.441851","13.427871","9.134065","7.134363","11.834838","8.25968","8.106591","4.581406","5.445572","7.092108","9.330795","7.797744","5.767143","5.530292","5.629786","6.313394","4.316737","4.557852","6.83857","5.021138","4.002545","3.500973","3.285879","3.77377","9.058666","3.790444","5.805305","3.417336","4.04609","4.325161","4.672696","6.022477","4.810453","3.701101","3.855816","4.830499","5.453042","4.169754","3.946773","3.36825","3.294919","5.888073","10.910563","6.692253","5.47577","4.455598","3.30027","5.445599","4.576502","5.254026","4.091469","4.76901","4.35982","4.613239","3.927225","4.732724","4.516207","3.651141","3.112445","8.176455","4.711633","3.213012","3.573249","7.620675","4.667774","6.325381","3.542776","3.429864","4.60385","8.315301","4.778021","3.47396","7.093008","5.886353","9.286925","6.231343","12.99757","4.905299","4.933479","5.970256","8.141852","4.539841","3.162531","3.721352","3.319019","6.095378","9.22472","8.12164","7.16105","7.872899","7.358156","5.427126","4.826984","6.196381","4.268063","6.728331","5.338991","0"
