@relation lung-qn-numeric-control-nominal-bottom-random-training-top10

@attribute GPX1 numeric
@attribute RPS4Y1 numeric
@attribute HEBP2 numeric
@attribute RNH1 numeric
@attribute CHD8 numeric
@attribute PIAS4 numeric
@attribute DOK2 numeric
@attribute 215247_at numeric
@attribute 216093_at numeric
@attribute ZNF706 numeric
@attribute CDKN2AIP numeric
@attribute controls {0,1}

@data
11.433432,11.809098,9.281751,6.303529,6.390975,5.44064,7.509764,4.534464,3.512524,9.349845,5.982268,0
10.876854,11.476131,8.889127,6.31857,6.453044,5.201982,7.547962,4.359124,3.236368,8.842113,5.658026,1
10.830195,11.415775,8.793121,6.215038,6.413372,4.883862,7.148247,4.407564,3.336425,8.933309,5.850904,1
11.354549,11.680719,9.079982,6.578014,6.326008,5.20687,7.838822,4.146343,3.117954,9.288506,6.346976,0
11.020827,11.385202,8.519734,6.270737,7.107017,5.124948,7.288645,4.261728,3.315202,8.753427,6.147521,1
11.038648,11.373912,8.55596,6.149435,7.209539,5.009987,7.706459,4.180703,3.25833,8.925345,5.727308,1
11.283747,5.1248,9.05503,6.196701,7.136499,5.204125,7.049226,4.326822,3.451819,8.990538,5.499374,1
11.258788,5.558924,8.646199,6.201662,7.324104,5.028253,7.438982,4.111886,3.455275,9.172462,5.61907,1
10.876854,5.003554,8.866493,6.296047,6.952706,4.847849,7.484832,4.344242,3.201514,8.855605,5.353996,0
11.200063,11.834838,9.330795,6.83857,6.231343,4.905299,8.141852,4.539841,3.162531,9.22472,4.826984,0
10.328921,11.487232,8.607894,6.415268,7.322234,5.408236,7.890237,4.296198,3.106434,9.147449,5.311588,0
11.262925,11.564294,8.712704,6.256275,6.863304,5.027606,7.551403,4.441408,3.543343,9.099684,5.408419,1
10.980888,11.657816,8.853652,6.372333,6.435355,4.958101,6.952706,4.226066,3.286844,9.030393,6.034884,1
11.078106,11.759582,8.89231,6.349794,6.50241,5.056432,7.671254,4.206988,3.40572,9.102694,5.92938,1
11.39261,5.231582,8.627318,6.184087,7.19468,5.266751,8.301197,4.42103,3.24825,9.364834,5.799078,0
10.808709,11.31245,8.491912,6.235372,7.117275,5.124637,7.193697,4.004869,3.397856,9.141764,5.468921,1
10.646318,11.1539,8.500632,6.258161,7.449055,5.075063,7.531284,4.248072,3.330892,9.231983,6.081902,1
11.080495,6.164839,9.140475,6.488684,6.459646,5.226903,7.694168,4.182435,3.473641,9.190414,5.685515,1
11.407377,11.982093,9.666603,6.656582,6.098517,5.354369,7.948124,4.611587,3.199881,9.306894,5.217647,0
11.033265,6.686149,8.723572,6.361863,6.563414,4.901498,7.38444,4.490786,3.295719,9.046858,6.295604,1
11.089798,11.465298,8.997776,6.164858,7.243923,4.885447,7.106047,4.067599,3.597679,9.013373,5.654161,1
11.262925,11.369155,7.761807,6.413909,6.52529,4.932314,7.148247,4.479368,3.353922,9.205294,5.893255,1
11.078106,11.568139,8.822398,6.311907,6.762989,5.107341,7.348496,4.205304,3.348177,8.808805,5.916463,1
11.147496,5.620169,8.901893,6.376339,6.609967,5.02704,7.259617,4.46031,3.235578,9.128016,5.724608,1
11.033265,11.429179,8.870012,6.107627,7.264367,5.13176,7.716139,4.0532,3.220863,9.163135,5.936054,1
11.507882,11.786787,9.246319,6.717307,6.382115,5.273808,8.107847,4.648393,3.138427,9.306894,5.394902,0
11.086936,11.598533,9.215948,6.179939,6.586102,5.145148,6.715117,4.361164,3.167443,9.053529,5.893981,0
10.929441,11.712822,8.428547,5.838786,6.942531,4.806147,7.34148,4.528189,3.515165,9.152702,6.212114,1
11.185585,11.612927,9.036706,6.189565,6.607098,4.965125,7.321975,4.338269,3.681036,8.855006,6.105997,1
11.099085,11.571515,8.89655,6.269663,6.895762,5.078732,7.012702,4.444702,3.432255,8.958938,5.627979,1
11.10252,11.621465,9.028721,6.359778,6.595177,5.167375,7.095213,4.428216,3.293253,8.883696,5.943142,1
11.192902,11.560654,9.06608,6.345565,6.936867,4.580479,7.74267,3.935126,3.433972,9.24103,5.489822,1
11.162779,11.798676,9.014141,6.337044,6.431382,5.028706,6.846379,4.533315,3.414545,8.934743,5.663526,0
11.216258,6.225506,8.728012,6.175963,6.483315,4.840354,7.360044,4.338075,3.460277,9.268405,5.849339,1
10.910563,5.860451,9.071566,6.411682,6.66564,5.145261,6.813604,4.318592,3.436858,8.858376,6.167634,1
11.29862,11.854154,8.981818,6.531533,6.410657,5.014565,7.096848,4.438527,3.621468,9.284026,5.551865,0
11.131595,11.575834,8.9444,6.285717,6.601334,5.074508,7.382263,4.309027,3.376578,9.109424,6.007407,1
10.721945,11.407377,8.646199,6.254805,6.628049,4.816133,6.943303,4.214043,3.313474,9.087571,5.772199,1
10.58829,11.644611,8.648924,6.149876,6.765509,5.115042,6.851022,4.206136,3.484964,8.843855,5.769974,1
10.842198,6.174604,9.1951,6.519497,6.808628,5.460082,7.096156,4.561021,3.319019,8.76999,5.147043,0
