@relation lung-qn-numeric-control-nominal-bottom-random-training-top25

@attribute CNPPD1 numeric
@attribute GPX1 numeric
@attribute EPB41L2 numeric
@attribute RPS4Y1 numeric
@attribute HEBP2 numeric
@attribute PTPN18 numeric
@attribute PLXNA3 numeric
@attribute PSEN2 numeric
@attribute SLC22A5 numeric
@attribute HABP2 numeric
@attribute RNH1 numeric
@attribute 206446_s_at numeric
@attribute PAGE1 numeric
@attribute 208525_s_at numeric
@attribute CHD8 numeric
@attribute PIAS4 numeric
@attribute LOC92249 numeric
@attribute LOC100506963 numeric
@attribute DOK2 numeric
@attribute 215247_at numeric
@attribute 216093_at numeric
@attribute ADAM15 numeric
@attribute ZNF706 numeric
@attribute TMEM134 numeric
@attribute TSPAN15 numeric
@attribute CDKN2AIP numeric
@attribute controls {0,1}

@data
6.709782,11.433432,7.216869,11.809098,9.281751,7.508861,4.900078,5.501396,5.527325,3.894356,6.303529,4.011422,4.294757,3.438301,6.390975,5.44064,4.839383,5.528001,7.509764,4.534464,3.512524,5.507879,9.349845,6.929922,7.212789,5.982268,0
6.615183,10.876854,7.450974,11.476131,8.889127,7.027851,5.164635,5.175145,5.817375,3.888339,6.31857,3.530334,3.637169,3.311331,6.453044,5.201982,4.555888,5.604474,7.547962,4.359124,3.236368,5.006492,8.842113,6.762628,6.889446,5.658026,1
6.295003,10.830195,8.545791,11.415775,8.793121,6.830819,4.819975,5.492034,5.66478,3.709133,6.215038,4.395343,3.780443,3.322401,6.413372,4.883862,4.468771,5.360456,7.148247,4.407564,3.336425,5.242205,8.933309,6.781529,6.620356,5.850904,1
6.977203,11.354549,7.884013,11.680719,9.079982,7.475142,5.290945,5.502027,6.302677,3.906247,6.578014,3.354419,3.585023,3.464436,6.326008,5.20687,4.634371,5.893255,7.838822,4.146343,3.117954,5.491982,9.288506,7.103973,6.858636,6.346976,0
6.6494,11.020827,7.924941,11.385202,8.519734,7.324315,5.106525,5.19711,5.391227,3.997136,6.270737,4.08174,3.713363,3.333536,7.107017,5.124948,4.949323,5.73461,7.288645,4.261728,3.315202,5.096105,8.753427,6.686149,6.722473,6.147521,1
6.480616,11.038648,8.427244,11.373912,8.55596,7.217596,4.815714,5.215611,5.487908,3.953968,6.149435,3.543525,3.585427,3.593259,7.209539,5.009987,4.562032,5.506611,7.706459,4.180703,3.25833,4.850104,8.925345,6.582021,6.297512,5.727308,1
6.787021,11.283747,7.447592,5.1248,9.05503,7.020145,4.800697,5.325048,5.774622,3.885097,6.196701,3.519911,3.78327,3.302784,7.136499,5.204125,4.643505,5.695471,7.049226,4.326822,3.451819,5.427061,8.990538,6.728047,6.930644,5.499374,1
6.805573,11.258788,8.482836,5.558924,8.646199,7.468142,4.544836,5.329659,6.049837,4.038422,6.201662,3.591423,3.600395,3.707137,7.324104,5.028253,4.296773,5.584695,7.438982,4.111886,3.455275,4.817904,9.172462,6.60803,6.874892,5.61907,1
6.696141,10.876854,7.984686,5.003554,8.866493,6.973954,4.41677,5.350475,5.446183,4.265442,6.296047,3.393914,3.673598,3.424044,6.952706,4.847849,4.694323,5.329568,7.484832,4.344242,3.201514,5.022022,8.855605,6.541591,6.621926,5.353996,0
6.980781,11.200063,7.134363,11.834838,9.330795,7.797744,5.767143,5.530292,6.313394,4.557852,6.83857,3.500973,3.573249,3.47396,6.231343,4.905299,4.933479,5.970256,8.141852,4.539841,3.162531,6.095378,9.22472,7.872899,7.358156,4.826984,0
