@relation lung-qn-numeric-control-nominal-bottom-random-training-top50

@attribute FAU numeric
@attribute CNPPD1 numeric
@attribute GPX1 numeric
@attribute SSR4 numeric
@attribute ETS2 numeric
@attribute EPB41L2 numeric
@attribute RPS4Y1 numeric
@attribute TDP2 numeric
@attribute LEPROTL1 numeric
@attribute ZMYM2 numeric
@attribute MVD numeric
@attribute DOCK1 numeric
@attribute HEBP2 numeric
@attribute PTPN18 numeric
@attribute PLXNA3 numeric
@attribute PSEN2 numeric
@attribute SLC22A5 numeric
@attribute IPO8 numeric
@attribute HABP2 numeric
@attribute RNH1 numeric
@attribute MAP3K13 numeric
@attribute 206446_s_at numeric
@attribute PPEF1 numeric
@attribute PAGE1 numeric
@attribute CASP7 numeric
@attribute 207759_s_at numeric
@attribute DGKD numeric
@attribute 208426_x_at numeric
@attribute 208525_s_at numeric
@attribute PPP6R1 numeric
@attribute SMPD1 numeric
@attribute CHD8 numeric
@attribute PIAS4 numeric
@attribute LOC92249 numeric
@attribute LOC100506963 numeric
@attribute DOK2 numeric
@attribute 215247_at numeric
@attribute 216093_at numeric
@attribute 216636_at numeric
@attribute 216729_at numeric
@attribute ADAM15 numeric
@attribute ZNF706 numeric
@attribute MUL1 numeric
@attribute RMND5B numeric
@attribute TMEM134 numeric
@attribute TSPAN15 numeric
@attribute EPS8L1 numeric
@attribute CDKN2AIP numeric
@attribute C7orf26 numeric
@attribute RGS17 numeric
@attribute KCTD13 numeric
@attribute controls {0,1}

@data
12.050856,6.709782,11.433432,11.05018,8.363346,7.216869,11.809098,9.516687,8.147672,5.367446,5.398879,6.591784,9.281751,7.508861,4.900078,5.501396,5.527325,5.450565,3.894356,6.303529,4.411701,4.011422,3.871836,4.294757,7.410967,3.258087,7.555268,3.716067,3.438301,6.233262,5.711457,6.390975,5.44064,4.839383,5.528001,7.509764,4.534464,3.512524,3.313988,3.661876,5.507879,9.349845,7.616086,6.654069,6.929922,7.212789,5.336762,5.982268,5.839457,3.349739,4.644887,0
11.575834,6.615183,10.876854,10.172567,9.611151,7.450974,11.476131,9.392414,7.635465,5.57171,5.408419,6.205484,8.889127,7.027851,5.164635,5.175145,5.817375,5.302272,3.888339,6.31857,4.447167,3.530334,3.419917,3.637169,7.293087,3.365858,7.690386,3.968799,3.311331,6.176257,5.430926,6.453044,5.201982,4.555888,5.604474,7.547962,4.359124,3.236368,3.498203,3.397229,5.006492,8.842113,7.515929,6.289412,6.762628,6.889446,4.945,5.658026,5.623734,3.584362,4.855092,1
11.728075,6.295003,10.830195,10.748296,9.634387,8.545791,11.415775,9.069952,7.826775,6.560536,5.187321,6.554696,8.793121,6.830819,4.819975,5.492034,5.66478,5.823244,3.709133,6.215038,4.922786,4.395343,3.518679,3.780443,7.40033,3.05136,7.792043,3.893608,3.322401,6.028715,5.277364,6.413372,4.883862,4.468771,5.360456,7.148247,4.407564,3.336425,3.413759,3.609238,5.242205,8.933309,7.396927,6.402661,6.781529,6.620356,5.27331,5.850904,5.784634,3.276401,4.642087,1
12.014662,6.977203,11.354549,10.540548,8.568684,7.884013,11.680719,9.247861,8.528425,5.096748,5.417235,6.258932,9.079982,7.475142,5.290945,5.502027,6.302677,5.057355,3.906247,6.578014,4.402927,3.354419,3.501443,3.585023,7.350275,3.201775,7.522075,3.904673,3.464436,6.053977,5.42942,6.326008,5.20687,4.634371,5.893255,7.838822,4.146343,3.117954,3.544455,3.646945,5.491982,9.288506,7.939245,6.866926,7.103973,6.858636,5.133557,6.346976,5.832763,3.493098,4.871625,0
11.959756,6.6494,11.020827,10.913204,8.641325,7.924941,11.385202,8.715348,7.784371,6.785733,4.696289,6.603606,8.519734,7.324315,5.106525,5.19711,5.391227,5.312712,3.997136,6.270737,5.248189,4.08174,3.543935,3.713363,7.371377,3.278809,7.655808,3.942323,3.333536,6.334769,5.531437,7.107017,5.124948,4.949323,5.73461,7.288645,4.261728,3.315202,3.464436,3.575132,5.096105,8.753427,7.648459,6.462608,6.686149,6.722473,5.188263,6.147521,5.937459,3.437725,4.60073,1
11.571515,6.480616,11.038648,10.590751,8.798896,8.427244,11.373912,8.898356,7.777159,5.91121,5.071797,6.851022,8.55596,7.217596,4.815714,5.215611,5.487908,5.404992,3.953968,6.149435,4.515387,3.543525,3.466067,3.585427,7.424892,3.29738,7.784576,4.124252,3.593259,6.301784,5.444015,7.209539,5.009987,4.562032,5.506611,7.706459,4.180703,3.25833,3.450858,3.499415,4.850104,8.925345,7.616086,6.755016,6.582021,6.297512,4.925337,5.727308,5.974809,3.562059,4.745082,1
12.096831,6.787021,11.283747,10.987456,8.483468,7.447592,5.1248,9.000727,7.952364,5.525184,5.198188,6.085012,9.05503,7.020145,4.800697,5.325048,5.774622,4.776544,3.885097,6.196701,4.056164,3.519911,3.718603,3.78327,7.530964,3.23415,7.804787,3.887747,3.302784,6.462261,5.709644,7.136499,5.204125,4.643505,5.695471,7.049226,4.326822,3.451819,3.495216,3.618271,5.427061,8.990538,7.485441,6.561836,6.728047,6.930644,5.164886,5.499374,6.009005,3.495669,4.803145,1
11.786787,6.805573,11.258788,10.200236,9.103105,8.482836,5.558924,8.89343,7.684966,5.426265,5.022845,6.764732,8.646199,7.468142,4.544836,5.329659,6.049837,4.809947,4.038422,6.201662,4.160697,3.591423,3.575551,3.600395,7.876531,3.354673,8.070749,4.141386,3.707137,6.456511,5.697251,7.324104,5.028253,4.296773,5.584695,7.438982,4.111886,3.455275,3.368933,4.005435,4.817904,9.172462,7.525734,6.310406,6.60803,6.874892,5.2004,5.61907,6.01927,3.574392,5.174267,1
11.963239,6.696141,10.876854,10.494193,9.607822,7.984686,5.003554,8.89087,7.753358,5.450372,5.420061,6.980978,8.866493,6.973954,4.41677,5.350475,5.446183,5.05208,4.265442,6.296047,3.796278,3.393914,3.356372,3.673598,7.273643,3.440033,8.230223,4.17687,3.424044,5.726183,5.441954,6.952706,4.847849,4.694323,5.329568,7.484832,4.344242,3.201514,3.577837,3.500051,5.022022,8.855605,7.608108,6.594429,6.541591,6.621926,5.185545,5.353996,6.043415,3.683706,4.728131,0
12.258474,6.980781,11.200063,11.441851,9.134065,7.134363,11.834838,8.25968,8.106591,4.581406,5.445572,7.092108,9.330795,7.797744,5.767143,5.530292,6.313394,4.316737,4.557852,6.83857,4.002545,3.500973,3.77377,3.573249,7.620675,3.429864,8.315301,4.778021,3.47396,7.093008,5.886353,6.231343,4.905299,4.933479,5.970256,8.141852,4.539841,3.162531,3.721352,3.319019,6.095378,9.22472,8.12164,7.16105,7.872899,7.358156,5.427126,4.826984,6.196381,4.268063,5.338991,0
11.963239,7.255139,10.328921,10.339043,8.803124,7.753833,11.487232,8.662342,7.666,4.920531,5.976403,7.128785,8.607894,7.128315,5.344938,5.401421,6.558443,4.439654,3.985201,6.415268,4.043806,3.345988,3.188132,3.50618,7.926817,3.400686,8.046483,3.84634,3.518885,6.261987,5.541,7.322234,5.408236,4.766407,5.962819,7.890237,4.296198,3.106434,3.530733,3.812259,5.057355,9.147449,7.635997,6.808923,6.922712,7.841394,5.685697,5.311588,6.253947,3.393514,5.273601,0
11.871765,6.706776,11.262925,10.97865,8.515072,7.348193,11.564294,8.767782,7.957914,5.187917,5.426111,6.416601,8.712704,7.432821,4.656205,5.229828,5.43803,5.095867,3.854612,6.256275,4.08545,3.669623,3.545876,3.800396,7.579428,3.321327,7.416006,3.709797,3.582438,6.291321,5.54421,6.863304,5.027606,4.614243,5.009965,7.551403,4.441408,3.543343,3.291383,3.546573,5.193249,9.099684,7.582168,6.330408,6.657524,7.103973,5.211931,5.408419,5.851919,3.63067,4.659732,1
11.733229,6.360143,10.980888,10.871313,9.201755,7.783858,11.657816,9.306002,8.055493,6.083925,5.068673,6.208807,8.853652,7.057849,4.631695,5.139562,5.763326,6.024415,3.872401,6.372333,4.448434,3.710548,3.628577,3.878657,7.312041,3.106084,7.538463,4.025496,3.242346,5.999903,5.338315,6.435355,4.958101,4.617397,5.511863,6.952706,4.226066,3.286844,3.326427,3.353258,5.312456,9.030393,7.375736,6.392901,6.690383,6.688794,5.074911,6.034884,5.762595,3.372596,4.537932,1
11.972335,6.819268,11.078106,10.876854,8.879708,8.132736,11.759582,9.062678,7.928323,5.051581,5.411904,6.338259,8.89231,7.419687,4.898112,5.276376,5.869421,5.525201,3.567813,6.349794,4.717941,3.702412,3.813104,3.930779,7.618256,3.128515,8.042031,3.90813,3.381378,6.375157,5.72343,6.50241,5.056432,4.812169,5.542416,7.671254,4.206988,3.40572,3.488586,3.723384,5.263693,9.102694,7.581254,6.59066,6.89606,6.968051,5.469764,5.92938,5.875337,3.37025,4.498649,1
11.902396,7.001494,11.39261,10.472874,8.01171,7.125152,5.231582,9.269954,8.321448,5.47004,5.242554,6.963299,8.627318,7.484957,5.292455,5.483948,6.444728,4.651827,4.845759,6.184087,4.48268,3.207686,3.144015,3.444544,7.743001,3.423424,8.386471,3.965784,3.410909,6.547019,5.211277,7.19468,5.266751,4.732982,6.031359,8.301197,4.42103,3.24825,3.241539,3.313474,4.513071,9.364834,7.398453,6.802232,6.924004,7.595118,5.66383,5.799078,6.102403,3.705468,5.18101,0
11.834838,6.688264,10.808709,10.411847,9.313327,8.452897,11.31245,8.897704,7.587152,5.972498,5.391496,6.500373,8.491912,7.18185,4.649701,5.227219,5.749383,5.471003,3.920384,6.235372,4.686996,3.527795,3.516164,3.758806,7.317933,3.373823,7.879539,3.801811,3.391428,6.409632,5.671178,7.117275,5.124637,4.4543,5.268719,7.193697,4.004869,3.397856,3.246568,3.640717,5.073248,9.141764,7.636704,6.732473,6.560126,6.752811,5.144018,5.468921,6.022539,3.354199,4.926092,1
11.759582,6.923371,10.646318,10.340745,8.583299,7.767674,11.1539,8.832819,7.633536,5.109942,6.055746,6.547662,8.500632,6.904668,4.892759,5.196608,5.964912,4.89731,3.869284,6.258161,4.043901,3.403913,3.409487,3.592418,7.69318,3.36738,8.092238,3.988247,3.285596,6.168734,5.531152,7.449055,5.075063,4.448797,4.955942,7.531284,4.248072,3.330892,3.471725,3.484964,5.334511,9.231983,7.357723,6.29352,6.653656,6.733508,5.136464,6.081902,5.956118,3.541839,5.117535,1
11.972335,6.972369,11.080495,10.794245,9.152732,7.807261,6.164839,8.755384,7.830535,5.022162,5.268719,6.468575,9.140475,7.463985,5.241323,5.544855,6.118447,4.951156,3.767736,6.488684,4.326417,3.515859,3.517244,3.60968,7.622183,3.250675,8.071076,4.059119,3.510615,6.283156,5.767104,6.459646,5.226903,4.797702,5.700315,7.694168,4.182435,3.473641,3.480251,3.397229,5.191446,9.190414,8.029176,7.254877,7.186373,6.714748,5.083924,5.685515,5.97789,3.614854,4.900587,1
11.954979,7.080669,11.407377,11.377843,8.460912,6.524857,11.982093,8.614983,7.895834,4.688087,5.872663,5.61907,9.666603,7.767918,5.053828,5.438301,5.862623,4.46031,4.023703,6.656582,4.028126,3.400015,3.570443,3.557487,7.390884,3.203031,8.001403,4.256702,3.547585,6.502558,6.109275,6.098517,5.354369,4.810713,6.225775,7.948124,4.611587,3.199881,3.313005,3.3512,6.065869,9.306894,7.938006,6.819633,7.558217,7.309222,5.47511,5.217647,5.904156,3.697074,5.183339,0
11.786787,6.639125,11.033265,10.65643,9.340869,8.741613,6.686149,9.108595,8.022006,6.495974,5.095615,6.570602,8.723572,6.880981,4.752764,5.506957,5.566634,5.772199,3.934183,6.361863,4.714797,3.76669,3.56288,3.627141,7.696884,3.168385,7.717769,3.907069,3.253635,6.010505,5.485673,6.563414,4.901498,4.706768,5.489128,7.38444,4.490786,3.295719,3.321327,3.393514,5.167314,9.046858,7.477612,6.611715,6.811794,6.955874,5.103957,6.295604,5.819004,3.537062,4.610385,1
11.854154,6.939133,11.089798,10.646318,9.321206,8.134136,11.465298,9.079258,7.725028,5.52242,5.359369,6.329524,8.997776,7.412925,4.695369,5.292568,5.551647,5.179527,3.831912,6.164858,4.336794,3.513817,3.664645,3.807716,7.546469,3.346975,7.762137,3.674726,3.658415,6.183281,5.453669,7.243923,4.885447,4.933691,5.534509,7.106047,4.067599,3.597679,3.309239,3.674402,4.546899,9.013373,7.715766,6.804622,6.346303,6.515117,5.323406,5.654161,6.002482,3.576672,4.657874,1
11.507882,6.412717,11.262925,10.581132,8.899098,8.598903,11.369155,8.71748,8.060894,6.67644,4.897835,6.406629,7.761807,7.213143,4.786952,5.096407,6.175564,5.572175,3.737383,6.413909,4.863064,3.885483,3.427993,3.611747,7.781207,3.337375,7.469002,4.016246,3.27191,6.161707,5.402674,6.52529,4.932314,4.538111,4.940936,7.148247,4.479368,3.353922,3.18998,3.735241,5.262039,9.205294,7.388122,6.273125,6.758303,6.736421,4.91477,5.893255,5.75122,3.478927,4.572838,1
11.929205,6.600872,11.078106,10.670332,9.382731,7.859647,11.568139,8.880353,7.958676,5.225733,5.826045,6.475291,8.822398,7.342521,4.839874,5.292337,5.733021,5.45483,3.654188,6.311907,4.335957,3.798689,3.40572,4.397789,7.535351,3.096507,8.185081,4.009683,3.383252,6.21074,5.768553,6.762989,5.107341,4.541802,5.287722,7.348496,4.205304,3.348177,3.461072,3.555917,5.226752,8.808805,7.385791,6.502886,6.738151,6.98032,5.389823,5.916463,5.954738,3.243099,4.760716,1
11.963239,6.743009,11.147496,10.748296,8.730101,8.633302,5.620169,8.86882,8.019333,5.152206,5.138949,6.649055,8.901893,7.300233,4.849795,5.189235,5.490701,5.009454,3.87645,6.376339,4.149492,3.565234,3.520411,3.84165,7.823608,3.393514,7.486669,3.956721,3.370823,6.159572,5.731899,6.609967,5.02704,4.716335,5.769662,7.259617,4.46031,3.235578,3.327158,3.412598,5.263693,9.128016,7.453875,6.174257,6.540751,6.865221,5.381965,5.724608,5.823578,3.423661,4.860483,1
12.126086,6.805271,11.033265,10.508655,8.696794,7.87318,11.429179,9.103252,7.829345,5.832795,5.015929,6.653656,8.870012,7.281347,5.159182,5.251412,5.733617,4.887218,3.758591,6.107627,4.687294,3.480876,3.462101,3.785015,7.325843,3.267886,8.02275,3.86961,3.464799,6.462877,5.356921,7.264367,5.13176,4.529631,5.650202,7.716139,4.0532,3.220863,3.384253,3.641499,4.857768,9.163135,7.471372,6.545991,7.246114,7.291189,5.243463,5.936054,5.91382,3.682103,5.11682,1
12.254658,7.213927,11.507882,10.658543,8.477967,7.22237,11.786787,8.614472,8.224884,4.532087,5.305165,7.258936,9.246319,7.793224,5.61907,5.384463,6.35225,4.169188,4.355789,6.717307,4.019388,3.294919,3.730977,3.306242,7.023151,3.511227,8.355545,4.921115,3.52229,6.561836,5.82744,6.382115,5.273808,4.897105,6.08952,8.107847,4.648393,3.138427,3.462338,3.30027,5.43876,9.306894,8.060094,7.171062,7.494605,8.159484,5.526054,5.394902,6.294584,4.072983,5.2608,0
12.048261,6.590142,11.086936,10.987456,8.96102,8.35297,11.598533,8.921427,7.804198,5.69227,5.544293,6.784173,9.215948,7.171685,4.639216,5.334935,5.682575,5.837958,3.981685,6.179939,4.310931,3.856502,3.366722,3.919041,7.103334,3.083388,7.776234,4.158569,3.445852,6.073256,5.806201,6.586102,5.145148,4.87469,5.278312,6.715117,4.361164,3.167443,3.3376,3.33665,5.042753,9.053529,7.598138,6.559102,6.552429,6.872189,5.194,5.893981,5.900901,3.564137,4.539327,0
12.081435,6.847847,10.929441,10.729058,8.848981,8.255775,11.712822,9.035426,7.948252,5.659096,4.819869,6.403239,8.428547,6.935112,4.918208,5.227768,5.406272,5.030586,3.77647,5.838786,4.131215,3.910731,3.584362,3.76958,7.815312,3.277378,7.495259,3.677753,3.315494,6.088698,5.569229,6.942531,4.806147,4.548448,5.895144,7.34148,4.528189,3.515165,3.297812,3.448561,4.984367,9.152702,7.523543,6.315684,6.855518,7.165164,5.471654,6.212114,5.759449,3.504224,4.796297,1
11.897492,6.587237,11.185585,10.646318,9.13199,8.056472,11.612927,9.269954,7.916537,5.18516,5.453431,6.55199,9.036706,7.236106,4.921968,5.218873,5.523619,5.476698,3.767736,6.189565,4.45353,3.554831,3.375832,4.218011,7.674037,3.148108,8.004655,3.691259,3.288598,6.10162,5.519776,6.607098,4.965125,4.692305,5.095374,7.321975,4.338269,3.681036,3.32152,3.519255,4.97871,8.855006,7.634088,6.470252,6.510338,7.090911,5.202385,6.105997,5.858984,3.275047,4.466638,1
11.94509,6.674373,11.099085,10.902392,8.554654,7.834726,11.571515,8.679775,7.640575,5.491798,4.953782,6.652254,8.89655,7.251898,4.973677,5.25834,5.661771,5.220603,3.872231,6.269663,4.489417,3.43191,3.461492,3.691093,7.740427,3.178318,7.720213,3.984478,3.613308,6.270931,5.753841,6.895762,5.078732,4.493495,5.428818,7.012702,4.444702,3.432255,3.247763,3.582204,5.19853,8.958938,7.371377,6.57769,6.830094,7.079092,5.10977,5.627979,5.965343,3.198339,4.793436,1
11.902396,6.597105,11.10252,11.033265,8.592754,7.310933,11.621465,9.061473,7.802848,5.476747,5.647176,6.49232,9.028721,7.319875,4.803643,5.125211,5.418303,5.203581,3.681671,6.359778,4.545363,3.493308,3.575971,3.794536,7.793466,3.217425,7.974243,3.975963,3.368497,6.274403,5.617576,6.595177,5.167375,4.799917,5.208443,7.095213,4.428216,3.293253,3.257242,3.489188,5.496381,8.883696,7.596713,6.475979,6.557423,6.13758,5.081144,5.943142,6.000589,3.499415,4.802379,1
11.804195,6.435122,11.192902,10.902392,9.125613,8.041756,11.560654,8.90682,7.801338,5.201832,5.240119,6.554034,9.06608,7.443184,4.509876,5.391105,5.56558,5.606351,3.866994,6.345565,4.372949,3.552399,3.452564,3.768592,7.875124,3.248784,7.635333,4.105354,3.395713,6.383736,5.623374,6.936867,4.580479,4.582305,5.221913,7.74267,3.935126,3.433972,3.301661,3.709398,5.109681,9.24103,7.387365,6.708976,6.733147,6.816581,5.296373,5.489822,5.999791,3.502355,4.374892,1
11.902396,6.58143,11.162779,10.972649,9.117989,8.07598,11.798676,8.772133,7.778134,6.250151,5.421862,6.532396,9.014141,6.870365,4.910285,5.371375,5.827887,5.762038,4.027633,6.337044,4.522018,3.689265,3.375622,3.816533,7.595464,3.018605,7.312923,3.942743,3.474049,6.025638,5.650967,6.431382,5.028706,4.768335,5.213971,6.846379,4.533315,3.414545,3.449547,3.61621,5.466149,8.934743,7.764872,6.748231,6.921879,6.976377,5.065115,5.663526,5.786073,3.423185,4.613544,0
